crashed,distance,dt,exception,lambda,mean_ego_speed,mean_iterations,min_ego_speed,min_speed,n_steps,nb_brakes,reward,rng_seed,solver,steps_in_lane,steps_to_lane,terminal
false,807.6836064827851,0.75,false,0.25,34.739079848721936,3154.064516129032,30.0334346874316,28.725566023488444,31,0,0.2146387639429372,40029,mlmpc,1,31,lane
false,515.657353500859,0.75,false,0.25,29.893179913093277,3553.3478260869565,28.68665817396284,26.585539355700234,23,1,0.13976057231745895,40030,mlmpc,1,23,lane
false,285.96418524100034,0.75,false,0.25,31.773798360111147,4918.333333333333,30.55504836011115,29.108164459624827,12,0,0.5688000922764596,40031,mlmpc,1,12,lane
false,1023.5961072648691,0.75,false,0.25,35.91565288648664,31295.736842105263,32.5505213075393,30.610268218312928,38,0,0.0,40032,mlmpc,0,,distance
false,515.25125246375,0.75,false,0.25,32.71436523579365,3485.9523809523807,32.14293666436509,28.891082094826167,21,0,0.35848592240854177,40033,mlmpc,1,21,lane
false,444.6356335540349,0.75,false,0.25,32.93597285585444,4228.944444444444,31.644306189187766,28.207930596981893,18,0,0.41812033521917696,40034,mlmpc,1,18,lane
false,393.9783582690955,0.75,false,0.25,22.839325117049015,4816.130434782609,17.181716421396843,17.181716421396843,23,0,0.3235335449737089,40035,mlmpc,1,23,lane
false,448.1278017064215,0.75,false,0.25,31.44756503202958,3871.2105263157896,29.71072292676643,27.964112547439612,19,1,0.23135921063595252,40036,mlmpc,1,19,lane
false,351.8992572380293,0.75,false,0.25,29.324938103169107,4878.9375,27.520250603169103,27.447713867515127,16,0,0.46329123015975293,40037,mlmpc,1,16,lane
false,592.9481797220868,0.75,false,0.25,30.407598960107016,3420.576923076923,29.340291267799316,28.60739905926553,26,1,0.20804217984137524,40038,mlmpc,1,26,lane
false,162.31769651975094,0.75,false,0.25,30.91765647995256,6751.571428571428,28.1855136228097,28.1855136228097,7,0,0.7350918906249998,40039,mlmpc,1,7,lane
false,433.53317068456323,0.75,false,0.25,24.085176149142402,5203.541666666667,17.444551149142406,17.444551149142406,24,0,0.30735686772502346,40040,mlmpc,1,24,lane
false,591.9516751268029,0.75,false,0.25,31.57075600676282,3681.2,27.670756006762808,27.433002389973552,25,0,0.2919890243387723,40041,mlmpc,1,25,lane
false,564.634204898862,0.75,false,0.25,32.73241767529635,4267.695652173913,30.221548110078956,28.30611450650391,23,0,0.3235335449737089,40042,mlmpc,1,23,lane
false,687.7298223201901,0.75,false,0.25,21.832692772069528,4341.642857142857,16.93090705778382,16.93090705778382,42,0,0.12208654873684793,40043,mlmpc,1,42,lane
false,613.6578196001977,0.75,false,0.25,29.22180093334275,3692.5,26.71733664762848,25.524525434932226,28,0,0.25034408974245487,40044,mlmpc,1,28,lane
false,167.66444386473518,0.75,false,0.25,31.936084545663842,5896.285714285715,30.48965597423527,25.565286368544964,7,1,0.5513189179687499,40045,mlmpc,1,7,lane
false,331.6826736242998,0.75,false,0.25,29.482904322159982,4602.266666666666,27.682904322159978,27.27696928808907,15,0,0.48767497911552943,40046,mlmpc,1,15,lane
false,379.4853332665565,0.75,false,0.25,29.763555550318156,4445.0,28.28561437384758,27.028398344982246,17,0,0.44012666865176525,40047,mlmpc,1,17,lane
false,437.2546308408955,0.75,false,0.25,24.291923935605308,5729.25,17.526298935605304,17.526298935605304,24,1,0.13277254370158603,40048,mlmpc,1,24,lane
false,411.6135854483806,0.75,false,0.25,30.489895218398562,4848.277777777777,28.28156188506523,28.28156188506523,18,0,0.41812033521917696,40049,mlmpc,1,18,lane
false,471.2286793621909,0.75,false,0.25,33.06867925348708,3140.8947368421054,30.838416095592358,27.94585272562392,19,0,0.3972143184582181,40050,mlmpc,1,19,lane
false,308.42544679334225,0.75,false,0.25,31.63337915829151,3944.3076923076924,28.950686850599197,25.999977290908546,13,0,0.5403600876626365,40051,mlmpc,1,13,lane
false,798.7133064825176,0.75,false,0.25,28.7824614948655,3226.2972972972975,17.068524650141683,17.068524650141683,37,3,0.0726388082161981,40052,mlmpc,1,37,lane
false,463.267843954388,0.75,false,0.25,29.413831362183366,4158.238095238095,27.074545647897637,26.91346520199029,21,0,0.35848592240854177,40053,mlmpc,1,21,lane
false,419.3938297340518,0.75,false,0.25,29.43114594624925,3717.8947368421054,27.792988051512395,27.592391741721407,19,0,0.3972143184582181,40054,mlmpc,1,19,lane
false,517.0659938563418,0.75,false,0.25,22.980710838059636,4840.566666666667,17.543210838059657,17.543210838059657,30,0,0.2259355409925655,40055,mlmpc,1,30,lane
false,244.94675023823788,0.75,false,0.25,27.216305582026433,5060.75,23.65380558202643,23.65380558202643,12,0,0.5688000922764596,40056,mlmpc,1,12,lane
false,425.93774599567666,0.75,false,0.25,23.663208110870926,4199.916666666667,17.61633311087094,17.61633311087094,24,0,0.30735686772502346,40057,mlmpc,1,24,lane
false,671.0495462507369,0.75,false,0.25,29.824424277810525,3368.366666666667,26.174424277810516,25.451248073703617,30,0,0.2259355409925655,40058,mlmpc,1,30,lane
false,475.2317218272352,0.75,false,0.25,30.173442655697475,3839.3809523809523,28.1020140842689,25.25682320010299,21,1,0.18390159838510434,40059,mlmpc,1,21,lane
false,390.95536134753786,0.75,false,0.25,27.435463954213184,5084.578947368421,25.915727112107916,25.179001625989226,19,0,0.3972143184582181,40060,mlmpc,1,19,lane
false,423.3160545032573,0.75,false,0.25,28.221070300217153,4080.6,24.95857030021714,24.95857030021714,20,0,0.37735360253530714,40061,mlmpc,1,20,lane
false,426.527437933508,0.75,false,0.25,21.873201945308104,5063.576923076923,16.96935579146195,16.96935579146195,26,0,0.27738957312183365,40062,mlmpc,1,26,lane
false,552.3553824464085,0.75,false,0.25,32.02060188095122,3660.695652173913,30.08038448964686,30.08038448964686,23,0,0.3235335449737089,40063,mlmpc,1,23,lane
false,848.6415274637047,0.75,false,0.25,34.28854656419009,3506.5757575757575,31.549910200553697,28.298411681091967,33,0,0.1937114844585008,40064,mlmpc,1,33,lane
false,184.24091883442554,0.75,false,0.25,30.70681980573759,5031.75,28.128694805737588,26.19524801733884,8,1,0.5237529720703122,40065,mlmpc,1,8,lane
false,156.15820455411506,0.75,false,0.25,29.744419915069535,7701.857142857143,27.065848486498105,26.707784653846584,7,0,0.7350918906249998,40066,mlmpc,1,7,lane
false,846.5041098208233,0.75,false,0.25,30.504652606155794,3377.675675675676,27.606003957507163,25.950597615453603,37,0,0.15777921478822676,40067,mlmpc,1,37,lane
false,148.18874759466323,0.75,false,0.25,32.93083279881405,6082.833333333333,31.805832798814052,30.446579644135923,6,0,0.7737809374999999,40068,mlmpc,1,6,lane
false,601.3113014153588,0.75,false,0.25,33.40618341196438,3143.5416666666665,32.01555841196438,29.793227765199035,24,0,0.30735686772502346,40069,mlmpc,1,24,lane
false,287.2379806189763,0.75,false,0.25,25.532264943909002,6470.866666666667,20.832264943909003,20.832264943909003,15,0,0.48767497911552943,40070,mlmpc,1,15,lane
false,606.0563664250416,0.75,false,0.25,32.32300620933555,3260.72,27.55300620933555,26.713086696520072,25,0,0.2919890243387723,40071,mlmpc,1,25,lane
false,668.6901138835873,0.75,false,0.25,33.02173401894258,2931.5555555555557,30.341178463387024,29.14592764003677,27,0,0.263520094465742,40072,mlmpc,1,27,lane
false,440.6117658470847,0.75,false,0.25,29.37411772313898,4453.9,26.224117723138967,25.828891545841948,20,0,0.37735360253530714,40073,mlmpc,1,20,lane
false,346.41370935628436,0.75,false,0.25,25.660274767132176,3615.222222222222,21.035274767132172,21.035274767132172,18,0,0.41812033521917696,40074,mlmpc,1,18,lane
false,488.06344137264875,0.75,false,0.25,27.11463563181382,4387.333333333333,25.255260631813805,24.908405355998127,24,0,0.30735686772502346,40075,mlmpc,1,24,lane
false,680.3790602169564,0.75,false,0.25,30.239069342975842,3802.9,28.726569342975857,28.106339783067842,30,0,0.2259355409925655,40076,mlmpc,1,30,lane
false,424.4430854732793,0.75,false,0.25,29.785479682335392,3754.5789473684213,28.265742840230125,28.265742840230125,19,0,0.3972143184582181,40077,mlmpc,1,19,lane
false,759.071866811972,0.75,false,0.25,36.146279371998666,3043.285714285714,33.400743657712965,30.874416115504598,28,0,0.25034408974245487,40078,mlmpc,1,28,lane
false,450.1148243401791,0.75,false,0.25,31.587005216854674,3744.8947368421054,30.639636795802033,27.27753956909191,19,1,0.2752955736793357,40079,mlmpc,1,19,lane
false,218.48992637646143,0.75,false,0.25,32.36887798169799,5524.222222222223,31.368877981697985,30.382270740005044,9,0,0.6634204312890623,40080,mlmpc,1,9,lane
false,430.6929575982368,0.75,false,0.25,23.927386533235378,3576.875,19.771136533235385,19.771136533235385,24,0,0.30735686772502346,40081,mlmpc,1,24,lane
false,620.9663099006702,0.75,false,0.25,31.84442614875232,2784.6923076923076,28.09442614875232,27.165172072574123,26,0,0.27738957312183365,40082,mlmpc,1,26,lane
false,439.0778278969546,0.75,false,0.25,30.81247915066348,4858.315789473684,28.927060029278998,27.87457918434703,19,0,0.3972143184582181,40083,mlmpc,1,19,lane
false,1020.6882443617951,0.75,false,0.25,34.89532459356565,33663.53846153846,30.981863055104085,29.77123726853885,39,0,0.0,40084,mlmpc,0,,distance
false,362.3052020976016,0.75,false,0.25,23.003504895085815,4057.6190476190477,17.664219180800096,17.664219180800096,21,0,0.35848592240854177,40085,mlmpc,1,21,lane
false,588.1643898165654,0.75,false,0.25,32.67579943425363,3008.25,31.45704943425362,28.13922163426039,24,0,0.30735686772502346,40086,mlmpc,1,24,lane
false,590.0960888406983,0.75,false,0.25,30.261337889266578,3240.5,27.47768404311273,27.47768404311273,26,0,0.27738957312183365,40087,mlmpc,1,26,lane
false,640.4654584520962,0.75,false,0.25,30.498355164385533,3471.714285714286,28.221569450099835,28.03269746545555,28,0,0.25034408974245487,40088,mlmpc,1,28,lane
false,519.8157338188688,0.75,false,0.25,30.134245438775004,3451.5652173913045,27.867941090948925,22.72638149577735,23,3,-0.08209202083094136,40089,mlmpc,1,23,lane
false,926.4389144509381,0.75,false,0.25,35.292911026702406,4171.571428571428,32.828625312416705,31.33285391472689,35,0,0.17482461472379698,40090,mlmpc,1,35,lane
false,969.1680289961746,0.75,false,0.25,36.92068681890189,19161.314285714285,33.34211539033045,29.524181027683486,35,0,0.17482461472379698,40091,mlmpc,1,35,lane
false,567.2440108417526,0.75,false,0.25,22.918949933000103,4783.0,16.646222660272812,16.646222660272812,33,0,0.1937114844585008,40092,mlmpc,1,33,lane
false,919.1522250647411,0.75,false,0.25,36.04518529665651,3332.794117647059,33.442244120185904,29.32839411715669,34,0,0.18402591023557577,40093,mlmpc,1,34,lane
false,402.44069379038604,0.75,false,0.25,29.81042176225082,3624.1111111111113,28.122921762250805,27.590673945254842,18,0,0.41812033521917696,40094,mlmpc,1,18,lane
false,356.3198185767431,0.75,false,0.25,23.754654571782872,5699.6,16.779654571782864,16.779654571782864,20,0,0.37735360253530714,40095,mlmpc,1,20,lane
false,730.435867366746,0.75,false,0.25,24.3478622455582,3599.6,18.67598724555822,18.67598724555822,40,0,0.1352759542790559,40096,mlmpc,1,40,lane
false,204.79226308514188,0.75,false,0.25,30.339594531132132,5071.888888888889,28.96459453113213,26.50852146841526,9,1,0.4975653234667967,40097,mlmpc,1,9,lane
false,357.8932566844834,0.75,false,0.25,22.723381376792595,4409.333333333333,18.50909566250688,18.50909566250688,21,0,0.35848592240854177,40098,mlmpc,1,21,lane
false,448.09287693484583,0.75,false,0.25,29.872858462323055,3954.5,27.041608462323047,26.81583966602462,20,0,0.37735360253530714,40099,mlmpc,1,20,lane
false,587.399845232614,0.75,false,0.25,32.63332473514522,3463.7916666666665,30.727074735145216,28.526771581037266,24,0,0.30735686772502346,40100,mlmpc,1,24,lane
false,614.4107655101525,0.75,false,0.25,34.13393141723069,3236.2916666666665,32.30580641723069,28.787248434335325,24,0,0.30735686772502346,40101,mlmpc,1,24,lane
false,441.04184358965637,0.75,false,0.25,29.40278957264376,3892.3,26.196539572643772,26.196539572643772,20,0,0.37735360253530714,40102,mlmpc,1,20,lane
false,666.6772551070484,0.75,false,0.25,34.18857718497684,3690.6923076923076,32.16934641574607,28.88773471596171,26,0,0.27738957312183365,40103,mlmpc,1,26,lane
false,647.6693463853657,0.75,false,0.25,22.142541756764636,5264.871794871795,18.642541756764643,18.642541756764643,39,0,0.14239574134637464,40104,mlmpc,1,39,lane
false,665.1069850538235,0.75,false,0.25,24.6335920390305,3472.0833333333335,19.47734203903051,19.47734203903051,36,0,0.16608338398760714,40105,mlmpc,1,36,lane
false,561.3069589423645,0.75,false,0.25,29.936371143592776,4162.0,28.526371143592776,28.00198635992478,25,0,0.2919890243387723,40106,mlmpc,1,25,lane
false,800.6389314541749,0.75,false,0.25,33.35995547725729,3846.40625,31.8482367272573,30.668034900785045,32,0,0.20390682574579033,40107,mlmpc,1,32,lane
false,723.8652511326146,0.75,false,0.25,31.133989296026435,3414.7741935483873,28.678344134736122,28.045526351541994,31,0,0.2146387639429372,40108,mlmpc,1,31,lane
false,414.0148293139087,0.75,false,0.25,32.47175131873794,3934.3529411764707,28.94233955403204,27.76343691218758,17,0,0.44012666865176525,40109,mlmpc,1,17,lane
false,596.3549601799651,0.75,false,0.25,36.142724859391826,3893.4545454545455,34.04613395030091,26.50858595338235,22,1,0.2509401456859792,40110,mlmpc,1,22,lane
false,516.1891518233795,0.75,false,0.25,31.284191019598754,3358.0,30.50010011050785,29.440692350297116,22,0,0.34056162628811465,40111,mlmpc,1,22,lane
false,957.4489371780498,0.75,false,0.25,34.502664402812606,8467.027027027027,31.2087454838937,29.270050603058834,37,0,0.15777921478822676,40112,mlmpc,1,37,lane
false,455.5457719596492,0.75,false,0.25,31.968124348045556,3537.1052631578946,27.09312434804555,25.480617146963702,19,0,0.3972143184582181,40113,mlmpc,1,19,lane
false,466.0167958019363,0.75,false,0.25,29.58836798742453,4363.619047619048,27.374082273138825,27.267564188216454,21,0,0.35848592240854177,40114,mlmpc,1,21,lane
false,438.6687277675665,0.75,false,0.25,23.39566548093688,5217.2,17.650665480936865,17.650665480936865,25,0,0.2919890243387723,40115,mlmpc,1,25,lane
false,275.15157738242726,0.75,false,0.25,30.572397486936364,4321.5,29.63489748693636,28.76584332010353,12,0,0.5688000922764596,40116,mlmpc,1,12,lane
false,627.282188060007,0.75,false,0.25,32.16831733641062,3458.076923076923,27.78370195179523,25.953206382077788,26,1,0.17808599350727913,40117,mlmpc,1,26,lane
false,639.7566523528212,0.75,false,0.25,34.120354792150465,3876.64,31.390354792150482,26.750471260418323,25,1,0.1261339165165067,40118,mlmpc,1,25,lane
false,774.193943029376,0.75,false,0.25,32.25808095955733,3733.0625,30.61745595955734,28.996611236236113,32,0,0.20390682574579033,40119,mlmpc,1,32,lane
false,617.093375071183,0.75,false,0.25,29.385398812913476,3720.535714285714,26.921113098627764,26.065351347673154,28,0,0.25034408974245487,40120,mlmpc,1,28,lane
false,928.7502032181624,0.75,false,0.25,42.70115876865114,11973.655172413793,35.22702083761665,30.832230791249746,29,0,0.2378268852553321,40121,mlmpc,1,29,lane
